"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS";"QT_VOTOS_LEGENDA"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81752";"JARAGUÁ DO SUL";"81752";"JARAGUÁ DO SUL";"87";"13";"Vereador";"Coligação";"43";"PV";"Partido Verde";"240000000856";"JARAGUÁ NOVAMENTE RUMO  AO PROGRESSO";"PDT / PR / PSDC / PSB / PV / PEN";"N";"89";"3"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81752";"JARAGUÁ DO SUL";"81752";"JARAGUÁ DO SUL";"17";"13";"Vereador";"Coligação";"36";"PTC";"Partido Trabalhista Cristão";"240000000709";"JARAGUA VENCEDOR";"PTC / PSDB";"N";"243";"5"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81590";"ITAIÓPOLIS";"81590";"ITAIÓPOLIS";"38";"13";"Vereador";"Coligação";"35";"PMB";"Partido da Mulher Brasileira";"240000000847";"Abrace essa ideia";"PSB / PEN / PMB / PC do B";"N";"0";"2"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80225";"ABDON BATISTA";"80225";"ABDON BATISTA";"52";"13";"Vereador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000000275";"POR UM ABDON CADA VEZ MELHOR";"PMDB / PP / PSDB";"N";"206";"4"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"82678";"PORTO UNIÃO";"82678";"PORTO UNIÃO";"25";"13";"Vereador";"Coligação";"23";"PPS";"Partido Popular Socialista";"240000001291";"Aliança e Compromisso por Porto União";"PTC / PSC / PT do B / PR / PROS / PPS";"N";"97";"3"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81035";"FAXINAL DOS GUEDES";"81035";"FAXINAL DOS GUEDES";"43";"13";"Vereador";"Coligação";"45";"PSDB";"Partido da Social Democracia Brasileira";"240000001034";"SOMOS TODOS FAXINAL";"PSD / PT / PP / PSDB / PR";"N";"745";"17"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"81280";"BOCAINA DO SUL";"81280";"BOCAINA DO SUL";"21";"13";"Vereador";"Coligação";"55";"PSD";"Partido Social Democrático";"240000000328";"O povo em 1. Lugar";"PMDB / PP / PSD";"N";"97";"5"
"09/08/2020";"01:22:03";"2016";"1";"Eleição Suplementar";"1";"239";"Nova Eleição 2017 - Sangão";"02/04/2017";"M";"SC";"81000";"SANGÃO";"81000";"SANGÃO";"33";"11";"Prefeito";"Coligação";"15";"PMDB";"Partido do Movimento Democrático Brasileiro";"240000001429";"TODOS POR SANGÃO";"PMDB / PSB / PSDB";"N";"3453";"0"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80551";"BRUSQUE";"80551";"BRUSQUE";"5";"13";"Vereador";"Coligação";"36";"PTC";"Partido Trabalhista Cristão";"240000000958";"Frente Brusque em primeiro lugar";"PT / PV / PTC";"N";"87";"3"
"09/08/2020";"01:22:03";"2016";"2";"Eleição Ordinária";"1";"220";"Eleições Municipais 2016";"02/10/2016";"M";"SC";"80551";"BRUSQUE";"80551";"BRUSQUE";"86";"13";"Vereador";"Coligação";"36";"PTC";"Partido Trabalhista Cristão";"240000000958";"Frente Brusque em primeiro lugar";"PT / PV / PTC";"N";"98";"3"
